epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
127,0.03152575,0.005986,0.999507,0.999506,0.999504,0.999505,2.056906,0.598829,0.593992,0.600461,0.593463,val
128,0.03077976,0.004976,0.999458,0.999455,0.999454,0.999454,2.044343,0.597545,0.593737,0.600170,0.593061,val
129,0.03003877,0.004713,0.999532,0.999531,0.999531,0.999530,2.034128,0.599697,0.596035,0.600919,0.595549,val
130,0.02930295,0.003942,0.999630,0.999629,0.999627,0.999628,2.020567,0.598178,0.594460,0.600472,0.593927,val
131,0.02857252,0.003939,0.999556,0.999555,0.999554,0.999555,2.011080,0.602243,0.597318,0.604251,0.596895,val
132,0.02784764,0.004173,0.999507,0.999505,0.999504,0.999505,1.997191,0.603328,0.597073,0.605066,0.597645,val
133,0.02712851,0.003753,0.999545,0.999578,0.999580,0.999579,1.981615,0.604354,0.600161,0.606609,0.599452,val
134,0.02641532,0.004510,0.999581,0.999582,0.999578,0.999580,1.984537,0.598237,0.594978,0.600265,0.593417,val
135,0.02570826,0.004161,0.999507,0.999505,0.999505,0.999505,1.961456,0.603920,0.598943,0.605540,0.598200,val
136,0.02500750,0.003794,0.999606,0.999603,0.999603,0.999603,1.957098,0.602560,0.598029,0.604371,0.597267,val
137,0.02431323,0.003449,0.999655,0.999654,0.999651,0.999652,1.950399,0.600841,0.597047,0.602847,0.596120,val
138,0.02362563,0.003736,0.999581,0.999577,0.999579,0.999578,1.941907,0.603346,0.599411,0.606123,0.599128,val
139,0.02294487,0.003282,0.999630,0.999627,0.999627,0.999627,1.951390,0.601985,0.598585,0.604649,0.597188,val
140,0.02227114,0.003265,0.999754,0.999750,0.999754,0.999752,1.929107,0.597862,0.593225,0.600532,0.592897,val
141,0.02160460,0.003479,0.999606,0.999606,0.999603,0.999604,1.923219,0.602835,0.598403,0.604971,0.597547,val
142,0.02094544,0.003393,0.999581,0.999579,0.999579,0.999579,1.918078,0.606800,0.605059,0.608640,0.602879,val
143,0.02029382,0.003393,0.999606,0.999604,0.999604,0.999604,1.913039,0.602718,0.597868,0.604547,0.597390,val
144,0.01964991,0.003557,0.999532,0.999530,0.999529,0.999529,1.904231,0.605991,0.601475,0.607818,0.601372,val
145,0.01901388,0.003329,0.999680,0.999677,0.999678,0.999677,1.908718,0.602143,0.599198,0.604224,0.597850,val
146,0.01838589,0.003245,0.999606,0.999603,0.999603,0.999603,1.894298,0.607510,0.602692,0.609745,0.602970,val
147,0.01776611,0.003358,0.999680,0.999677,0.999678,0.999677,1.882726,0.607668,0.603260,0.609782,0.602963,val
148,0.01715470,0.003440,0.999619,0.999653,0.999653,0.999653,1.890305,0.602460,0.598077,0.604651,0.597800,val
149,0.01655182,0.004124,0.999545,0.999580,0.999578,0.999579,1.877703,0.605615,0.601178,0.607575,0.601080,val
150,0.01595761,0.003606,0.999778,0.999779,0.999777,0.999778,1.885266,0.607351,0.603040,0.609932,0.602551,val
151,0.01537225,0.003447,0.999606,0.999604,0.999604,0.999603,1.884908,0.605340,0.600164,0.607416,0.600161,val
152,0.01479587,0.003234,0.999754,0.999751,0.999752,0.999752,1.887980,0.603662,0.599459,0.605982,0.598601,val
153,0.01422863,0.003429,0.999680,0.999677,0.999676,0.999676,1.884251,0.602577,0.598527,0.605579,0.598422,val
154,0.01367068,0.003383,0.999630,0.999631,0.999627,0.999629,1.866442,0.604689,0.600310,0.606701,0.600225,val
155,0.01312215,0.003330,0.999581,0.999578,0.999579,0.999579,1.875469,0.605181,0.603093,0.607618,0.601203,val
156,0.01258321,0.003030,0.999754,0.999752,0.999750,0.999751,1.865866,0.604964,0.601062,0.606900,0.600478,val
157,0.01205397,0.003197,0.999704,0.999702,0.999702,0.999702,1.861985,0.608654,0.605737,0.610979,0.604837,val
158,0.01153458,0.003008,0.999704,0.999703,0.999703,0.999703,1.869479,0.608220,0.604741,0.610559,0.603999,val
159,0.01102518,0.002978,0.999729,0.999726,0.999727,0.999726,1.872113,0.608812,0.606768,0.611168,0.605227,val
160,0.01052590,0.003018,0.999704,0.999703,0.999702,0.999702,1.855688,0.608753,0.604957,0.610872,0.604352,val
161,0.01003686,0.002830,0.999754,0.999752,0.999752,0.999752,1.851512,0.608812,0.605316,0.611182,0.604560,val
162,0.00955820,0.002819,0.999778,0.999778,0.999776,0.999777,1.855802,0.606208,0.601606,0.608302,0.601762,val
163,0.00909003,0.002954,0.999754,0.999751,0.999753,0.999751,1.854242,0.607510,0.604019,0.610042,0.603351,val
164,0.00863248,0.002938,0.999729,0.999728,0.999728,0.999727,1.854996,0.608970,0.604730,0.611129,0.604843,val
165,0.00818568,0.002915,0.999778,0.999777,0.999775,0.999776,1.854561,0.608595,0.604786,0.610677,0.604259,val
166,0.00774972,0.002948,0.999742,0.999777,0.999777,0.999777,1.845176,0.607944,0.604334,0.609981,0.604252,val
167,0.00732474,0.003062,0.999729,0.999728,0.999727,0.999727,1.847504,0.609580,0.606568,0.612409,0.606315,val
168,0.00691083,0.002924,0.999778,0.999778,0.999775,0.999776,1.845558,0.605181,0.601545,0.607599,0.600930,val
169,0.00650810,0.002884,0.999803,0.999802,0.999801,0.999801,1.847079,0.606049,0.602258,0.608799,0.601691,val
170,0.00611667,0.002802,0.999803,0.999801,0.999802,0.999801,1.851547,0.605991,0.601597,0.608490,0.601296,val
171,0.00573663,0.002981,0.999704,0.999704,0.999705,0.999704,1.847152,0.605557,0.601340,0.607836,0.600968,val
172,0.00536807,0.002764,0.999778,0.999778,0.999777,0.999777,1.852418,0.606049,0.601722,0.608569,0.601142,val
173,0.00501111,0.002853,0.999680,0.999677,0.999680,0.999678,1.845803,0.604255,0.599831,0.606361,0.600004,val
174,0.00466582,0.002873,0.999704,0.999703,0.999701,0.999702,1.844968,0.606483,0.602506,0.608777,0.602511,val
175,0.00433229,0.002963,0.999668,0.999704,0.999703,0.999703,1.848725,0.606266,0.601238,0.608877,0.601782,val
176,0.00401063,0.002810,0.999778,0.999777,0.999775,0.999776,1.838629,0.605832,0.602140,0.608172,0.601714,val
177,0.00370090,0.002836,0.999803,0.999800,0.999800,0.999800,1.844387,0.606049,0.601469,0.608706,0.601480,val
178,0.00340319,0.002755,0.999803,0.999802,0.999802,0.999801,1.837409,0.606425,0.602351,0.608983,0.602251,val
179,0.00311757,0.002812,0.999754,0.999751,0.999752,0.999751,1.833215,0.608161,0.605020,0.610749,0.604374,val
180,0.00284413,0.002766,0.999754,0.999752,0.999750,0.999751,1.838586,0.607510,0.602886,0.609895,0.603161,val
181,0.00258292,0.002722,0.999803,0.999802,0.999802,0.999802,1.833671,0.608220,0.604608,0.610623,0.604484,val
182,0.00233402,0.002745,0.999754,0.999753,0.999751,0.999752,1.837895,0.606208,0.601416,0.608666,0.601798,val
183,0.00209750,0.002722,0.999827,0.999825,0.999827,0.999826,1.837359,0.606425,0.601717,0.609313,0.601926,val
184,0.00187341,0.002670,0.999827,0.999827,0.999825,0.999826,1.840423,0.607668,0.602810,0.609889,0.602842,val
185,0.00166181,0.002684,0.999827,0.999826,0.999827,0.999826,1.844746,0.608319,0.603783,0.610338,0.603513,val
186,0.00146276,0.002623,0.999877,0.999877,0.999875,0.999876,1.832620,0.608102,0.602902,0.610342,0.603350,val
187,0.00127631,0.002714,0.999852,0.999852,0.999851,0.999852,1.835442,0.607076,0.602978,0.609575,0.603089,val
188,0.00110251,0.002696,0.999803,0.999801,0.999801,0.999801,1.829489,0.608753,0.604565,0.610487,0.604137,val
189,0.00094140,0.002556,0.999827,0.999827,0.999827,0.999827,1.834656,0.608003,0.604538,0.610210,0.604030,val
190,0.00079302,0.002788,0.999718,0.999751,0.999751,0.999750,1.836762,0.610114,0.606617,0.612586,0.606388,val
191,0.00065742,0.002600,0.999827,0.999826,0.999825,0.999825,1.835616,0.608102,0.603538,0.610291,0.603679,val
192,0.00053463,0.002612,0.999827,0.999826,0.999827,0.999826,1.835959,0.608812,0.604963,0.611274,0.604661,val
193,0.00042467,0.002778,0.999778,0.999777,0.999779,0.999778,1.834350,0.607293,0.602454,0.609862,0.602548,val
194,0.00032759,0.002616,0.999901,0.999902,0.999901,0.999901,1.832589,0.608378,0.604599,0.610552,0.604182,val
195,0.00024339,0.002573,0.999975,0.999975,0.999976,0.999976,1.835881,0.607727,0.603559,0.610296,0.603435,val
196,0.00017212,0.002806,0.999729,0.999727,0.999728,0.999727,1.836495,0.609404,0.605601,0.611947,0.604589,val
197,0.00011378,0.002667,0.999778,0.999776,0.999778,0.999777,1.836513,0.607176,0.602837,0.609383,0.602747,val
198,0.00006838,0.002616,0.999852,0.999852,0.999849,0.999850,1.834648,0.606208,0.602821,0.608530,0.602038,val
199,0.00003595,0.002677,0.999827,0.999825,0.999825,0.999825,1.839549,0.606959,0.601697,0.609464,0.601955,val
200,0.00001649,0.002611,0.999877,0.999874,0.999874,0.999874,1.836455,0.610114,0.605163,0.613021,0.605752,val
