dataset_folder,dataset_display,config_model,seed,run_name,condition_key,condition_label,epoch,train_accuracy,eval_accuracy,train_loss,eval_loss
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,65.0,0.999893,0.990619,0.001877,0.042721
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,66.0,1.0,0.989642,0.001695,0.042664
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,67.0,1.0,0.988666,0.001715,0.042081
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,68.0,1.0,0.989642,0.001675,0.046061
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,69.0,1.0,0.989642,0.001718,0.047279
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,70.0,1.0,0.989642,0.001689,0.043408
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,71.0,1.0,0.988666,0.001654,0.04687
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,72.0,1.0,0.989642,0.001638,0.044727
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,73.0,1.0,0.988029,0.001699,0.044736
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,74.0,0.998796,0.989006,0.007697,0.048182
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,75.0,0.999946,0.990619,0.002059,0.043114
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,76.0,1.0,0.988029,0.00159,0.049326
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,77.0,1.0,0.989642,0.001528,0.045576
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,78.0,1.0,0.988029,0.001492,0.045651
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,79.0,1.0,0.988029,0.001459,0.047548
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,80.0,1.0,0.988029,0.001501,0.045237
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,81.0,1.0,0.989642,0.00157,0.045106
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,82.0,1.0,0.988029,0.001566,0.04597
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,83.0,1.0,0.988029,0.001595,0.047754
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,84.0,1.0,0.988029,0.001586,0.044426
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,85.0,1.0,0.987053,0.001527,0.045451
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,86.0,1.0,0.988029,0.001562,0.045668
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,87.0,1.0,0.988029,0.001595,0.044913
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,88.0,1.0,0.989642,0.001603,0.046811
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,89.0,1.0,0.988029,0.001569,0.04785
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,90.0,1.0,0.988029,0.001561,0.04514
