dataset_folder,dataset_display,config_model,seed,run_name,condition_key,condition_label,epoch,train_accuracy,eval_accuracy,train_loss,eval_loss
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,96.0,0.999929,0.576241,0.006626,1.941867
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,97.0,0.999938,0.576873,0.006566,1.94972
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,98.0,0.999929,0.57392,0.006583,1.954293
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,99.0,0.999929,0.578631,0.006565,1.944852
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,100.0,0.999947,0.575092,0.006561,1.947694
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M8_area0.1,cam_high_M8,cam_high M8,1.0,0.048736,0.074816,4.392579,4.163228
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M8_area0.1,cam_high_M8,cam_high M8,2.0,0.504381,0.410846,1.903426,2.483149
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M8_area0.1,cam_high_M8,cam_high M8,3.0,0.820619,0.456135,0.621514,2.430482
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M8_area0.1,cam_high_M8,cam_high M8,4.0,0.841025,0.424046,0.543211,2.719517
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M8_area0.1,cam_high_M8,cam_high M8,5.0,0.829734,0.449609,0.58184,2.529976
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M8_area0.1,cam_high_M8,cam_high M8,6.0,0.809343,0.434582,0.659339,2.540414
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M8_area0.1,cam_high_M8,cam_high M8,7.0,0.828522,0.44923,0.592603,2.473386
