epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
83,0.06621830,0.169854,0.946770,0.946898,0.946843,0.946846,2.217368,0.562999,0.574514,0.565826,0.561579,val
84,0.06545430,0.159588,0.949840,0.949995,0.949947,0.949946,2.209401,0.577011,0.589180,0.578241,0.573762,val
85,0.06468630,0.154720,0.952096,0.952279,0.952262,0.952245,2.229742,0.572489,0.592979,0.572969,0.572824,val
86,0.06391448,0.159584,0.950740,0.950921,0.950885,0.950882,2.259127,0.566629,0.576890,0.568092,0.566195,val
87,0.06313906,0.139326,0.957209,0.957386,0.957356,0.957347,2.218267,0.570952,0.577617,0.573367,0.569057,val
88,0.06236022,0.149988,0.952712,0.952888,0.952875,0.952859,2.196844,0.580618,0.585470,0.581679,0.575567,val
89,0.06157818,0.151625,0.953241,0.953452,0.953369,0.953386,2.223976,0.581069,0.587122,0.583156,0.577729,val
90,0.06079313,0.134054,0.958575,0.958737,0.958694,0.958690,2.222309,0.574893,0.582663,0.577293,0.572447,val
91,0.06000528,0.132395,0.959404,0.959620,0.959603,0.959586,2.197395,0.586260,0.592889,0.587903,0.582823,val
92,0.05921484,0.129291,0.959326,0.959443,0.959373,0.959386,2.172919,0.576354,0.584927,0.577950,0.573895,val
93,0.05842201,0.129935,0.959758,0.959906,0.959835,0.959848,2.203882,0.574700,0.584569,0.575808,0.571458,val
94,0.05762699,0.129755,0.959720,0.959793,0.959787,0.959776,2.190003,0.573908,0.582415,0.575066,0.571211,val
95,0.05683000,0.117406,0.964636,0.964703,0.964651,0.964659,2.176953,0.584483,0.596858,0.587411,0.583148,val
96,0.05603123,0.095517,0.971759,0.971855,0.971801,0.971810,2.161880,0.587961,0.589954,0.589530,0.582988,val
97,0.05523090,0.095323,0.971698,0.971802,0.971788,0.971782,2.102319,0.596383,0.604270,0.598521,0.593294,val
98,0.05442921,0.107910,0.967015,0.967120,0.967072,0.967078,2.150958,0.585867,0.593302,0.587359,0.583677,val
99,0.05362638,0.099010,0.970724,0.970796,0.970759,0.970766,2.140828,0.582630,0.587136,0.586020,0.582043,val
