dataset,architecture,seed,condition,mode,M,cutout_area,config_epochs,metrics_epoch_count,required_columns_ok,epoch_sequence_ok,status,analysis_valid,issue_count,issues,source_path,config_path,metrics_path,config_sha256,metrics_sha256
CIFAR-100,resnet18,42,Random cutout,random,8.0,0.05,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.05/resnet18_seed42_random_M8_area0.05,runs/cifar100/resnet18/42/0.05/resnet18_seed42_random_M8_area0.05/config.json,runs/cifar100/resnet18/42/0.05/resnet18_seed42_random_M8_area0.05/metrics.csv,6b982b8a8091c150f76a1b613b7ec88ddb76d6f01ace4294ebb133b723c97949,8d8cf89c68d33808a18282767926d233c045854fb730c240f45e73dd6d1191c3
CIFAR-100,resnet18,42,Random cutout,random,8.0,0.1,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.1/resnet18_seed42_random_M8_area0.1,runs/cifar100/resnet18/42/0.1/resnet18_seed42_random_M8_area0.1/config.json,runs/cifar100/resnet18/42/0.1/resnet18_seed42_random_M8_area0.1/metrics.csv,89e6072cd7a60c3af2bcd5293257be23796263512a946881b6ffcc070a32381a,4b7803250de2990f27ed5722867fa65a7fcd1a32522720c745bcbac66c3db75d
CIFAR-100,resnet18,42,Random cutout,random,8.0,0.2,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.2/resnet18_seed42_random_M8_area0.2,runs/cifar100/resnet18/42/0.2/resnet18_seed42_random_M8_area0.2/config.json,runs/cifar100/resnet18/42/0.2/resnet18_seed42_random_M8_area0.2/metrics.csv,82ecdf78c00bce9e1b2da9c2e8322ca7e991178018e33e913f8886c6073a4d93,7056c613fe0aff2174f351c406f43a9f698a80997b39513f480c5a4c201ffd63
CIFAR-100,resnet18,42,Random cutout,random,8.0,0.3,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.3/resnet18_seed42_random_M8_area0.3,runs/cifar100/resnet18/42/0.3/resnet18_seed42_random_M8_area0.3/config.json,runs/cifar100/resnet18/42/0.3/resnet18_seed42_random_M8_area0.3/metrics.csv,ce2018f1df54906dab85c3dc4a185c1a586421292a1eb50bc6ccba2cf244b565,c9bd26f058c281c58488a2f637e9a7fa7c1e960c07f088e3fbad8bb2e39b94b3
CIFAR-100,resnet18,42,No cutout,none,,,100,100,True,True,valid_selected_baseline,True,0,,runs/cifar100/resnet18/42/0.05/resnet18_seed42_none,runs/cifar100/resnet18/42/0.05/resnet18_seed42_none/config.json,runs/cifar100/resnet18/42/0.05/resnet18_seed42_none/metrics.csv,0e2e6c679f11d046597e9d31dc37d8293f9dc4baf5bbc12c17d8b01a0aaae868,4acc4724f63720b9dfda3f86c6a283da03cd09d8877f10b6eb4463b475d4788f
CIFAR-100,resnet18,42,No cutout,none,,,100,100,True,True,duplicate_baseline_exact,False,1,deduplicated_exact_no_cutout_copy,runs/cifar100/resnet18/42/0.1/resnet18_seed42_none,runs/cifar100/resnet18/42/0.1/resnet18_seed42_none/config.json,runs/cifar100/resnet18/42/0.1/resnet18_seed42_none/metrics.csv,715e2c6fffb6fa39c2b9efd4196e9d5a04a2b875d29aeaae79a6e081549c8c6d,4acc4724f63720b9dfda3f86c6a283da03cd09d8877f10b6eb4463b475d4788f
CIFAR-100,resnet18,42,No cutout,none,,,100,100,True,True,duplicate_baseline_exact,False,1,deduplicated_exact_no_cutout_copy,runs/cifar100/resnet18/42/0.2/resnet18_seed42_none,runs/cifar100/resnet18/42/0.2/resnet18_seed42_none/config.json,runs/cifar100/resnet18/42/0.2/resnet18_seed42_none/metrics.csv,8afca1dfa62b25aa4a181f1bbabab95d7d30f7bda8cebbd40593c0da41c901bc,4acc4724f63720b9dfda3f86c6a283da03cd09d8877f10b6eb4463b475d4788f
CIFAR-100,resnet18,42,No cutout,none,,,100,100,True,True,duplicate_baseline_exact,False,1,deduplicated_exact_no_cutout_copy,runs/cifar100/resnet18/42/0.3/resnet18_seed42_none,runs/cifar100/resnet18/42/0.3/resnet18_seed42_none/config.json,runs/cifar100/resnet18/42/0.3/resnet18_seed42_none/metrics.csv,e232fe302982fa70684763516dff66a12983cd495472f82b8a6ae4e35826e5a7,4acc4724f63720b9dfda3f86c6a283da03cd09d8877f10b6eb4463b475d4788f
CIFAR-100,resnet18,43,High-saliency cutout,cam_high,4.0,0.05,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.05/resnet18_seed43_cam_high_M4_area0.05,runs/cifar100/resnet18/43/0.05/resnet18_seed43_cam_high_M4_area0.05/config.json,runs/cifar100/resnet18/43/0.05/resnet18_seed43_cam_high_M4_area0.05/metrics.csv,3f281523fe061c0e3aa0a54c3165d05169f3db3dbc4215ae1df76285718318fa,df55e648698372093246cd8ac47b420f0836be3b9dc0a0d33ad747a067fdff71
CIFAR-100,resnet18,43,High-saliency cutout,cam_high,4.0,0.1,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.1/resnet18_seed43_cam_high_M4_area0.1,runs/cifar100/resnet18/43/0.1/resnet18_seed43_cam_high_M4_area0.1/config.json,runs/cifar100/resnet18/43/0.1/resnet18_seed43_cam_high_M4_area0.1/metrics.csv,c5cd8ebcb0d6f215d53f3edbf917e884fca011e4809d9555555ea91b301c32ad,848e187c8261061a85572f7610cab7c38e3a029b07720bb58eb88c0e1313ef95
CIFAR-100,resnet18,43,High-saliency cutout,cam_high,4.0,0.2,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.2/resnet18_seed43_cam_high_M4_area0.2,runs/cifar100/resnet18/43/0.2/resnet18_seed43_cam_high_M4_area0.2/config.json,runs/cifar100/resnet18/43/0.2/resnet18_seed43_cam_high_M4_area0.2/metrics.csv,320c680350bdcf2346a7d14517209577dd4f07df753ea51db1480bb28f364b27,3fb872a1cfd72a9f8468c2f04ee48720c0e0f831656967d28990f668d4b28fba
CIFAR-100,resnet18,43,High-saliency cutout,cam_high,4.0,0.3,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.3/resnet18_seed43_cam_high_M4_area0.3,runs/cifar100/resnet18/43/0.3/resnet18_seed43_cam_high_M4_area0.3/config.json,runs/cifar100/resnet18/43/0.3/resnet18_seed43_cam_high_M4_area0.3/metrics.csv,a5a17c85db64dcf04c80a2f66c7d1099b7d2cb574b8f17c630f50b82ab271792,5766e632267b730a048853071f72978a32ad8391056b98c12ef769c6926afea1
CIFAR-100,resnet18,43,High-saliency cutout,cam_high,8.0,0.05,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.05/resnet18_seed43_cam_high_M8_area0.05,runs/cifar100/resnet18/43/0.05/resnet18_seed43_cam_high_M8_area0.05/config.json,runs/cifar100/resnet18/43/0.05/resnet18_seed43_cam_high_M8_area0.05/metrics.csv,5d8cdc9051273f0a125415b38dc042943de6ce646f371b4930c0259b3f20308b,98f29a7ad9fc02d19cfcea11dbd38dee104e5f4212ecda02361fc0022c028239
CIFAR-100,resnet18,43,High-saliency cutout,cam_high,8.0,0.1,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.1/resnet18_seed43_cam_high_M8_area0.1,runs/cifar100/resnet18/43/0.1/resnet18_seed43_cam_high_M8_area0.1/config.json,runs/cifar100/resnet18/43/0.1/resnet18_seed43_cam_high_M8_area0.1/metrics.csv,4fd4a7c50fdb525e7c81cdec221055366c0cce981c5e42ddcf11f321343b344e,ab7e98271623795052dad116ce2e2e2650e3868e9d11174d15cfe7bdab396bfd
CIFAR-100,resnet18,43,High-saliency cutout,cam_high,8.0,0.2,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.2/resnet18_seed43_cam_high_M8_area0.2,runs/cifar100/resnet18/43/0.2/resnet18_seed43_cam_high_M8_area0.2/config.json,runs/cifar100/resnet18/43/0.2/resnet18_seed43_cam_high_M8_area0.2/metrics.csv,0ad666713379d849982e319bd7ccd7c61215ce13d1e7724254a8f95b05596f52,6ba5f24b2b2f277812685a86438c62e3eae0baec2e4f20675b865bcf6d408f11
