dataset,architecture,comparison_key,comparison,condition,mode,M,cutout_area,condition_a,condition_b,M_a,M_b,metric,metric_label,difference_interpretation,n_paired_seeds,seeds_paired,seeds_missing,mean_paired_difference,sample_variance,sample_std,standard_error,ci95_low,ci95_high,min,max,seed_42_difference,seed_43_difference,seed_44_difference,seed_level_differences
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.05,Low-saliency cutout M8,Random cutout M8,8,8.0,final_validation_accuracy,Final validation accuracy,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,-0.0005089999999999817,6.425678999999952e-06,0.0025348923054046993,0.0014635207548921144,-0.0068060215713183474,0.005788021571318384,-0.002630999999999939,0.0022980000000000222,-0.002630999999999939,0.0022980000000000222,-0.0011940000000000284,42:-0.0026310000;43:0.0022980000;44:-0.0011940000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.05,Low-saliency cutout M8,Random cutout M8,8,8.0,maximum_validation_drawdown,Maximum validation drawdown,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,-0.022886333333333342,0.005434681217333332,0.07372029040456456,0.04256242950981273,-0.2060176868553853,0.1602450201887186,-0.09514100000000003,0.05221699999999996,-0.09514100000000003,0.05221699999999996,-0.025734999999999952,42:-0.0951410000;43:0.0522170000;44:-0.0257350000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.05,Low-saliency cutout M8,Random cutout M8,8,8.0,validation_aulc,Normalized validation AULC,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.005670835016835037,1.902712386040495e-06,0.0013793884101443274,0.0007963902699138774,0.0022442442479153153,0.009097425785754759,0.004715348484848447,0.007252207070707062,0.005044949494949602,0.007252207070707062,0.004715348484848447,42:0.0050449495;43:0.0072522071;44:0.0047153485
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.1,Low-saliency cutout M8,Random cutout M8,8,8.0,best_to_final_degradation,Best-to-final degradation,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,-0.0011833333333333511,8.555626333332794e-06,0.002925000227920127,0.001688749668969402,-0.00844943670666131,0.006082770039994608,-0.004525999999999919,0.0009069999999998801,0.0009069999999998801,-0.004525999999999919,6.899999999998574e-05,42:0.0009070000;43:-0.0045260000;44:0.0000690000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.1,Low-saliency cutout M8,Random cutout M8,8,8.0,best_validation_accuracy,Best validation accuracy,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.010397333333333333,4.690923633333374e-05,0.006849031780721546,0.0039542903422878865,-0.006616604802773431,0.0274112714694401,0.002561999999999953,0.015244999999999953,0.002561999999999953,0.013385000000000091,0.015244999999999953,42:0.0025620000;43:0.0133850000;44:0.0152450000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.1,Low-saliency cutout M8,Random cutout M8,8,8.0,final_validation_accuracy,Final validation accuracy,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.011580666666666684,7.575920033333256e-05,0.008703976122056664,0.00502524295708949,-0.010041208661121816,0.03320254199445519,0.001655000000000073,0.01791100000000001,0.001655000000000073,0.01791100000000001,0.015175999999999967,42:0.0016550000;43:0.0179110000;44:0.0151760000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.1,Low-saliency cutout M8,Random cutout M8,8,8.0,maximum_validation_drawdown,Maximum validation drawdown,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.13913900000000004,0.004586828550999999,0.06772612901236863,0.03910169881646235,-0.02910203115682017,0.3073800311568202,0.06111000000000005,0.18267400000000006,0.18267400000000006,0.17363300000000004,0.06111000000000005,42:0.1826740000;43:0.1736330000;44:0.0611100000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.1,Low-saliency cutout M8,Random cutout M8,8,8.0,validation_aulc,Normalized validation AULC,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.007562747474747463,1.037827565727983e-05,0.003221533122176432,0.0018599530152918588,-0.0004399844440047601,0.015565479393499684,0.0038825151515151646,0.009872111111111193,0.0038825151515151646,0.008933616161616031,0.009872111111111193,42:0.0038825152;43:0.0089336162;44:0.0098721111
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.2,Low-saliency cutout M8,Random cutout M8,8,8.0,best_to_final_degradation,Best-to-final degradation,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.00016499999999993373,2.5435525000000223e-05,0.005043364452426596,0.0029117878242298847,-0.01236341183084519,0.01269341183084506,-0.005640000000000089,0.003469999999999973,0.003469999999999973,-0.005640000000000089,0.0026649999999999174,42:0.0034700000;43:-0.0056400000;44:0.0026650000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.2,Low-saliency cutout M8,Random cutout M8,8,8.0,best_validation_accuracy,Best validation accuracy,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.036818666666666666,5.904482333333135e-06,0.002429914058836883,0.0014029115359771305,0.030782425516570646,0.04285490781676268,0.03500700000000001,0.03957999999999995,0.03586900000000004,0.03957999999999995,0.03500700000000001,42:0.0358690000;43:0.0395800000;44:0.0350070000
