epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
128,0.03077976,0.002204,0.999877,0.999877,0.999875,0.999876,0.816959,0.801415,0.801052,0.804182,0.800139,val
129,0.03003877,0.002170,0.999901,0.999901,0.999902,0.999901,0.826060,0.802916,0.802376,0.804778,0.801536,val
130,0.02930295,0.002164,0.999901,0.999901,0.999900,0.999901,0.814176,0.796365,0.795490,0.798570,0.794652,val
131,0.02857252,0.002100,0.999926,0.999926,0.999926,0.999926,0.811585,0.801415,0.801260,0.803832,0.800228,val
132,0.02784764,0.002330,0.999852,0.999851,0.999851,0.999851,0.817822,0.800981,0.800144,0.803478,0.799382,val
133,0.02712851,0.002234,0.999827,0.999826,0.999826,0.999826,0.800506,0.802500,0.801746,0.804920,0.801292,val
134,0.02641532,0.002229,0.999877,0.999876,0.999876,0.999876,0.805520,0.801790,0.801189,0.804006,0.800333,val
135,0.02570826,0.002221,0.999827,0.999825,0.999825,0.999825,0.800502,0.801673,0.799514,0.803437,0.799378,val
136,0.02500750,0.002191,0.999877,0.999876,0.999876,0.999876,0.800224,0.804277,0.802704,0.806033,0.802151,val
137,0.02431323,0.002214,0.999877,0.999876,0.999876,0.999876,0.801251,0.800705,0.799168,0.802841,0.798843,val
138,0.02362563,0.002150,0.999926,0.999927,0.999925,0.999926,0.798210,0.802007,0.800615,0.803769,0.800182,val
139,0.02294487,0.002284,0.999877,0.999877,0.999876,0.999877,0.797910,0.803784,0.802281,0.805253,0.801498,val
140,0.02227114,0.002204,0.999877,0.999876,0.999877,0.999877,0.804322,0.802875,0.801553,0.804844,0.800944,val
141,0.02160460,0.002176,0.999951,0.999950,0.999951,0.999950,0.799666,0.799403,0.797603,0.801964,0.797533,val
142,0.02094544,0.002227,0.999926,0.999926,0.999925,0.999925,0.797935,0.804336,0.802937,0.806195,0.802849,val
143,0.02029382,0.002191,0.999926,0.999926,0.999926,0.999926,0.799669,0.800863,0.799358,0.802588,0.799064,val
144,0.01964991,0.002267,0.999877,0.999875,0.999875,0.999875,0.796100,0.803743,0.802839,0.806038,0.802266,val
145,0.01901388,0.002188,0.999951,0.999951,0.999950,0.999950,0.798253,0.803092,0.802214,0.805435,0.801650,val
146,0.01838589,0.002159,0.999877,0.999876,0.999876,0.999876,0.801280,0.802224,0.800883,0.804064,0.800340,val
147,0.01776611,0.002128,0.999901,0.999901,0.999900,0.999901,0.800184,0.801456,0.799927,0.803171,0.799739,val
148,0.01715470,0.002146,0.999901,0.999900,0.999901,0.999901,0.799102,0.805303,0.804639,0.807011,0.803828,val
149,0.01655182,0.002093,0.999901,0.999901,0.999900,0.999901,0.800266,0.804435,0.803051,0.806075,0.802363,val
150,0.01595761,0.002270,0.999901,0.999900,0.999898,0.999899,0.806649,0.799878,0.798271,0.801570,0.797851,val
151,0.01537225,0.002278,0.999852,0.999852,0.999852,0.999852,0.795102,0.803784,0.802322,0.805530,0.801807,val
152,0.01479587,0.002142,0.999877,0.999876,0.999876,0.999876,0.796776,0.801831,0.799754,0.803484,0.799623,val
153,0.01422863,0.002044,0.999926,0.999925,0.999926,0.999926,0.791871,0.806113,0.803248,0.807646,0.803782,val
154,0.01367068,0.002098,0.999901,0.999902,0.999901,0.999901,0.798387,0.802048,0.799546,0.803410,0.799426,val
155,0.01312215,0.002046,0.999951,0.999950,0.999950,0.999950,0.793449,0.805403,0.803523,0.806801,0.803124,val
156,0.01258321,0.002112,0.999877,0.999876,0.999876,0.999876,0.794577,0.806388,0.804747,0.807811,0.804264,val
157,0.01205397,0.002075,0.999877,0.999876,0.999876,0.999876,0.792880,0.805303,0.804304,0.807469,0.803256,val
158,0.01153458,0.002065,0.999877,0.999876,0.999877,0.999877,0.796957,0.805303,0.804567,0.807079,0.803519,val
159,0.01102518,0.002031,0.999901,0.999901,0.999901,0.999901,0.794530,0.804218,0.803138,0.805823,0.802316,val
160,0.01052590,0.001998,0.999975,0.999975,0.999975,0.999975,0.793257,0.807039,0.805422,0.808712,0.805025,val
161,0.01003686,0.002091,0.999901,0.999902,0.999901,0.999901,0.798393,0.805462,0.803876,0.807352,0.803310,val
162,0.00955820,0.002088,0.999852,0.999851,0.999851,0.999851,0.792363,0.809585,0.807728,0.811223,0.807513,val
163,0.00909003,0.002087,0.999877,0.999876,0.999876,0.999876,0.792962,0.804652,0.803484,0.806602,0.802790,val
164,0.00863248,0.002051,0.999926,0.999925,0.999925,0.999925,0.798107,0.804494,0.803400,0.806238,0.802711,val
165,0.00818568,0.002032,0.999877,0.999876,0.999877,0.999877,0.800608,0.804770,0.803637,0.806844,0.803137,val
166,0.00774972,0.001943,0.999901,0.999901,0.999901,0.999901,0.800460,0.805245,0.803778,0.806713,0.803027,val
167,0.00732474,0.002052,0.999852,0.999852,0.999852,0.999852,0.795033,0.804711,0.803329,0.806494,0.802898,val
168,0.00691083,0.001982,0.999926,0.999926,0.999927,0.999926,0.800975,0.802324,0.800439,0.804263,0.799865,val
169,0.00650810,0.001974,0.999926,0.999926,0.999925,0.999925,0.797500,0.803567,0.802024,0.805268,0.801512,val
170,0.00611667,0.001992,0.999877,0.999876,0.999876,0.999876,0.793687,0.806388,0.804534,0.807996,0.804165,val
171,0.00573663,0.001926,0.999975,0.999976,0.999975,0.999975,0.795331,0.804494,0.803611,0.806503,0.802750,val
172,0.00536807,0.001906,0.999951,0.999951,0.999950,0.999951,0.799456,0.806447,0.805469,0.808762,0.805078,val
173,0.00501111,0.001984,0.999901,0.999902,0.999902,0.999902,0.796223,0.806822,0.805152,0.808497,0.804926,val
174,0.00466582,0.001905,0.999901,0.999901,0.999901,0.999901,0.794594,0.806113,0.803998,0.807596,0.803841,val
175,0.00433229,0.001935,0.999951,0.999950,0.999950,0.999950,0.797894,0.806113,0.804735,0.807510,0.803957,val
176,0.00401063,0.001906,0.999951,0.999950,0.999951,0.999951,0.797097,0.807691,0.806214,0.809348,0.805579,val
177,0.00370090,0.001908,0.999926,0.999926,0.999925,0.999926,0.794040,0.805679,0.804200,0.807022,0.803551,val
178,0.00340319,0.001984,0.999901,0.999901,0.999901,0.999901,0.798796,0.807198,0.804786,0.808791,0.804744,val
179,0.00311757,0.001886,0.999951,0.999950,0.999951,0.999951,0.795186,0.807532,0.805738,0.809272,0.805446,val
180,0.00284413,0.001909,0.999951,0.999951,0.999951,0.999951,0.797391,0.807908,0.806487,0.809512,0.805909,val
181,0.00258292,0.001908,0.999901,0.999901,0.999901,0.999901,0.793880,0.809210,0.807709,0.810976,0.807354,val
182,0.00233402,0.001861,0.999975,0.999976,0.999975,0.999975,0.800328,0.807849,0.805825,0.809254,0.805365,val
183,0.00209750,0.001911,0.999926,0.999926,0.999927,0.999926,0.798515,0.805362,0.803924,0.807486,0.803502,val
184,0.00187341,0.001925,0.999877,0.999876,0.999876,0.999876,0.791863,0.806230,0.804627,0.808015,0.804361,val
185,0.00166181,0.001947,0.999852,0.999852,0.999852,0.999852,0.793996,0.805737,0.804241,0.807529,0.803781,val
186,0.00146276,0.001885,0.999901,0.999901,0.999901,0.999901,0.795518,0.805796,0.804685,0.807890,0.804140,val
