epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
151,0.01537225,0.038558,0.992548,0.992576,0.992572,0.992570,1.095288,0.748610,0.751607,0.745148,0.743347,val
152,0.01479587,0.036877,0.992175,0.992225,0.992211,0.992214,1.093641,0.741705,0.747120,0.736368,0.737002,val
153,0.01422863,0.032931,0.993630,0.993642,0.993632,0.993633,1.062160,0.756422,0.755485,0.752569,0.751348,val
154,0.01367068,0.023898,0.995716,0.995721,0.995721,0.995718,1.025501,0.760455,0.762129,0.756676,0.755612,val
155,0.01312215,0.018492,0.997164,0.997185,0.997181,0.997182,1.024470,0.763385,0.762539,0.759781,0.758482,val
156,0.01258321,0.015789,0.997963,0.997983,0.997982,0.997981,1.004264,0.760041,0.761172,0.756646,0.755359,val
157,0.01205397,0.014756,0.998118,0.998139,0.998136,0.998136,0.957496,0.770416,0.770100,0.766758,0.765734,val
158,0.01153458,0.013464,0.998380,0.998381,0.998378,0.998378,0.977474,0.769704,0.770587,0.767575,0.766270,val
159,0.01102518,0.011468,0.998890,0.998893,0.998886,0.998888,0.940627,0.779067,0.775696,0.775336,0.773423,val
160,0.01052590,0.009877,0.999134,0.999137,0.999134,0.999135,0.932118,0.776792,0.774767,0.773163,0.772045,val
161,0.01003686,0.008726,0.999290,0.999288,0.999289,0.999288,0.906777,0.781330,0.779219,0.778006,0.776721,val
162,0.00955820,0.009075,0.999090,0.999089,0.999091,0.999090,0.902110,0.786317,0.784631,0.782376,0.781375,val
163,0.00909003,0.007857,0.999490,0.999489,0.999488,0.999488,0.892885,0.787925,0.785689,0.784804,0.783247,val
164,0.00863248,0.007815,0.999578,0.999578,0.999579,0.999578,0.888700,0.785880,0.784081,0.781919,0.781177,val
165,0.00818568,0.007775,0.999467,0.999468,0.999468,0.999468,0.889522,0.788201,0.785794,0.784308,0.782932,val
166,0.00774972,0.007581,0.999534,0.999534,0.999533,0.999533,0.882832,0.786776,0.784876,0.783168,0.782051,val
167,0.00732474,0.007560,0.999512,0.999511,0.999511,0.999511,0.882362,0.784903,0.783342,0.780193,0.779654,val
168,0.00691083,0.007926,0.999467,0.999466,0.999463,0.999464,0.876532,0.790395,0.788017,0.785932,0.785110,val
169,0.00650810,0.007453,0.999512,0.999512,0.999510,0.999511,0.879272,0.788074,0.786325,0.783595,0.783024,val
170,0.00611667,0.007589,0.999512,0.999511,0.999512,0.999511,0.873641,0.789465,0.787514,0.785643,0.784870,val
171,0.00573663,0.007388,0.999556,0.999554,0.999556,0.999555,0.884305,0.785972,0.784511,0.782382,0.781104,val
172,0.00536807,0.007415,0.999578,0.999578,0.999578,0.999578,0.865677,0.792417,0.790052,0.788811,0.787309,val
173,0.00501111,0.007281,0.999689,0.999689,0.999688,0.999688,0.872977,0.790269,0.788507,0.787150,0.785672,val
174,0.00466582,0.007220,0.999623,0.999622,0.999623,0.999623,0.868875,0.794129,0.792599,0.790730,0.789481,val
175,0.00433229,0.007114,0.999600,0.999601,0.999600,0.999600,0.872335,0.792590,0.791659,0.789229,0.788318,val
176,0.00401063,0.007049,0.999667,0.999667,0.999667,0.999667,0.863483,0.790855,0.789873,0.787590,0.786666,val
177,0.00370090,0.007169,0.999711,0.999711,0.999710,0.999711,0.873090,0.790051,0.788813,0.786304,0.785567,val
178,0.00340319,0.007174,0.999711,0.999711,0.999710,0.999710,0.867696,0.793543,0.792959,0.789664,0.789223,val
179,0.00311757,0.007062,0.999645,0.999647,0.999644,0.999645,0.866268,0.795496,0.794111,0.791898,0.791095,val
180,0.00284413,0.006976,0.999734,0.999734,0.999734,0.999734,0.863428,0.795255,0.794158,0.791177,0.790361,val
181,0.00258292,0.007051,0.999689,0.999689,0.999688,0.999688,0.860212,0.795083,0.792879,0.791460,0.790191,val
182,0.00233402,0.006900,0.999800,0.999801,0.999799,0.999800,0.865752,0.795324,0.793585,0.791875,0.790915,val
183,0.00209750,0.006737,0.999800,0.999800,0.999800,0.999800,0.866608,0.793589,0.792050,0.790400,0.789264,val
184,0.00187341,0.006926,0.999645,0.999645,0.999644,0.999644,0.866558,0.793371,0.792142,0.789830,0.788868,val
185,0.00166181,0.006716,0.999734,0.999734,0.999732,0.999733,0.862951,0.791831,0.790320,0.788454,0.787441,val
186,0.00146276,0.006723,0.999711,0.999712,0.999711,0.999711,0.860836,0.793371,0.792501,0.789800,0.789331,val
187,0.00127631,0.006786,0.999711,0.999711,0.999712,0.999711,0.868980,0.792590,0.791423,0.788960,0.788212,val
188,0.00110251,0.006702,0.999778,0.999777,0.999779,0.999778,0.864590,0.792004,0.791222,0.788514,0.787613,val
189,0.00094140,0.006749,0.999711,0.999712,0.999712,0.999712,0.862350,0.792222,0.791272,0.789079,0.788228,val
190,0.00079302,0.006662,0.999623,0.999622,0.999622,0.999622,0.865617,0.795864,0.795124,0.792330,0.791517,val
191,0.00065742,0.006806,0.999689,0.999691,0.999689,0.999689,0.870446,0.791831,0.790837,0.788600,0.787504,val
192,0.00053463,0.006723,0.999800,0.999800,0.999799,0.999800,0.863233,0.795106,0.793433,0.791497,0.790619,val
193,0.00042467,0.006786,0.999800,0.999801,0.999799,0.999800,0.865590,0.793003,0.791991,0.789771,0.788856,val
194,0.00032759,0.006720,0.999756,0.999757,0.999755,0.999756,0.865880,0.794715,0.793684,0.791130,0.790263,val
195,0.00024339,0.006661,0.999822,0.999822,0.999823,0.999822,0.866630,0.794497,0.793435,0.790841,0.789798,val
196,0.00017212,0.006548,0.999911,0.999911,0.999911,0.999911,0.860038,0.796278,0.795091,0.792981,0.792127,val
197,0.00011378,0.006627,0.999867,0.999867,0.999867,0.999867,0.867470,0.792417,0.790959,0.789005,0.787863,val
198,0.00006838,0.006543,0.999711,0.999711,0.999711,0.999711,0.865279,0.791613,0.791021,0.788289,0.787346,val
199,0.00003595,0.006498,0.999711,0.999712,0.999712,0.999712,0.867150,0.794738,0.794006,0.791298,0.790658,val
200,0.00001649,0.006599,0.999756,0.999755,0.999756,0.999755,0.865510,0.792590,0.791700,0.789320,0.788595,val
